2021-01-15,00:15:07 32.6 14.0 32.0
2021-01-15,00:20:09 32.6 14.0 32.0
2021-01-15,00:25:07 31.5 14.0 32.0
2021-01-15,00:30:08 32.6 14.0 32.0
2021-01-15,00:35:07 32.0 14.0 31.0
2021-01-15,00:40:07 32.6 14.0 32.0
2021-01-15,00:45:09 32.0 14.0 32.0
2021-01-15,00:50:17 31.5 14.0 32.0
2021-01-15,00:55:07 32.6 14.0 32.0
2021-01-15,01:00:07 32.6 14.0 32.0
2021-01-15,01:05:08 32.0 14.0 32.0
2021-01-15,01:10:07 32.0 14.0 31.0
2021-01-15,01:15:08 32.6 14.0 32.0
2021-01-15,01:20:15 32.6 14.0 32.0
2021-01-15,01:25:06 31.5 14.0 31.0
2021-01-15,01:30:10 31.5 14.0 32.0
2021-01-15,01:35:06 32.0 14.0 32.0
2021-01-15,01:40:07 31.5 14.0 32.0
2021-01-15,01:45:07 32.0 14.0 32.0
2021-01-15,01:50:07 31.5 14.0 32.0
2021-01-15,01:55:08 32.6 14.0 32.0
2021-01-15,02:00:07 32.0 14.0 32.0
2021-01-15,02:05:08 32.6 14.0 32.0
2021-01-15,02:10:07 31.5 14.0 32.0
2021-01-15,02:15:06 31.5 14.0 31.0
2021-01-15,02:20:08 31.5 14.0 31.0
2021-01-15,02:25:07 32.0 14.0 32.0
2021-01-15,02:30:08 32.0 14.0 32.0
2021-01-15,02:35:17 32.0 14.0 32.0
2021-01-15,02:40:07 32.6 14.0 31.0
2021-01-15,02:45:08 31.5 14.0 32.0
2021-01-15,02:50:07 31.5 14.0 32.0
2021-01-15,02:55:10 32.0 14.0 32.0
2021-01-15,03:00:07 31.5 14.0 32.0
2021-01-15,03:05:06 31.5 14.0 32.0
2021-01-15,03:10:07 31.5 14.0 31.0
2021-01-15,03:15:06 31.5 14.0 32.0
2021-01-15,03:20:10 31.5 14.0 32.0
2021-01-15,03:25:07 32.0 14.0 32.0
2021-01-15,03:30:17 30.9 14.0 32.0
2021-01-15,03:35:08 31.5 14.0 31.0
2021-01-15,03:40:06 31.5 14.0 32.0
2021-01-15,03:45:07 31.5 14.0 32.0
2021-01-15,03:50:09 31.5 14.0 32.0
2021-01-15,03:55:07 31.5 14.0 31.0
2021-01-15,04:00:10 31.5 14.0 32.0
